epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2004.94,0.50213,0.28743,0.83271,0.93225,0.8902,0.93579,0.76646,0.59429,0.32402,0.87891,0.000151273,0.000151273,0.000151273
64,2255.82,0.49685,0.2852,0.83224,0.92671,0.89473,0.93412,0.76583,0.59316,0.32099,0.88061,0.000140277,0.000140277,0.000140277
65,2506.59,0.4909,0.28272,0.83132,0.93403,0.89885,0.93745,0.76545,0.58834,0.31937,0.87788,0.000129282,0.000129282,0.000129282
66,2756.83,0.48575,0.26892,0.82276,0.93175,0.89863,0.93637,0.76698,0.59752,0.32521,0.88213,0.000118286,0.000118286,0.000118286
67,3007.13,0.47167,0.26246,0.81985,0.93951,0.88388,0.93923,0.76739,0.59568,0.32337,0.88082,0.00010729,0.00010729,0.00010729
68,3257.42,0.46762,0.26006,0.81915,0.92479,0.89751,0.93354,0.76542,0.59376,0.32537,0.88109,9.62948e-05,9.62948e-05,9.62948e-05
69,3507.59,0.46128,0.25803,0.81803,0.9419,0.89476,0.93594,0.76936,0.59154,0.3241,0.87951,8.52992e-05,8.52992e-05,8.52992e-05
70,3757.81,0.45702,0.25386,0.81656,0.92012,0.90032,0.93668,0.77069,0.58957,0.32158,0.87818,7.43036e-05,7.43036e-05,7.43036e-05
71,4007.93,0.45039,0.25176,0.81368,0.93909,0.88623,0.93625,0.76628,0.59085,0.32293,0.8789,6.3308e-05,6.3308e-05,6.3308e-05
72,4258.04,0.44597,0.24979,0.81316,0.93535,0.88828,0.938,0.76944,0.58945,0.32209,0.87882,5.23124e-05,5.23124e-05,5.23124e-05
73,4508.1,0.44112,0.24743,0.81236,0.93608,0.89188,0.93825,0.76833,0.58972,0.32121,0.87802,4.13168e-05,4.13168e-05,4.13168e-05
74,4758.18,0.4405,0.24643,0.81295,0.92702,0.90234,0.93809,0.76987,0.589,0.32093,0.87866,3.03212e-05,3.03212e-05,3.03212e-05
75,5008.19,0.43806,0.24507,0.81249,0.92727,0.9009,0.93836,0.77118,0.58783,0.32026,0.87865,1.93256e-05,1.93256e-05,1.93256e-05
